counter,true_positive,false_positive,true_negative,false_negative,file_count,hexsha
383,18,25,149,71,263,39c56dab8c3146a48d38994f658e23bdd1d60cd6
407,18,26,153,71,268,b98fcd20897f4dee5c3fddad26ba83a2cc6a2944
411,18,26,153,72,269,5645b4f09fecb4ddaf9ac84fb367539cf85e3376
412,18,26,152,73,269,aea86a1b7a1c4b36adc0e8b201f6a40666abd2ca
413,18,26,152,74,270,c59cf065fa27a1df79434c25a768edb7b7c6dda6
414,18,26,151,76,271,d6b6bd4de9c82df6350914f0efb1cb14301011d4
415,18,26,151,77,272,53be601f35e7bccd699439b3356bd37f49ab1933
416,18,26,151,77,272,787f5cb54b9d50de3c3272d4c899bb7686e31981
419,18,26,151,78,273,d562d17235fec217add9daf5733e5a3bf86410cf
421,18,27,150,79,274,d998021db61ad568e2a7469a22b10837896165b3
434,19,29,160,81,289,c339e921be4bf2f464c29e8fc5d94ef5cfb1b87e
435,19,29,159,82,289,e21950bf80e24908da09ae198ff453cccda2d005
441,19,29,159,82,289,059f525b8731556f4878cc46a7712f7c92f91940
442,19,29,159,82,289,0cab35ba9c80839c256ea6804365f5bf4804a25d
