counter,true_positive,false_positive,true_negative,false_negative,file_count,hexsha
764,289,73,1966,442,2770,ca58181bac5366d3a1fb44e1b49fe9e365095138
766,289,73,1966,442,2770,335368410210ce0e27e0068b3a2a6cdf4baa956b
767,289,73,1966,442,2770,f9c3587b51487179cf3fb92b509790f4610d6012
769,289,73,1966,445,2773,b91a2a499fd562011fd275238924baa6002fb1f8
770,289,73,1966,447,2775,f5d5867a4a6aeddd58ff855a01ab4e438d938ac1
771,289,73,1966,447,2775,a871cf422d8f7a15d3029684538136e0c92f99dc
773,289,73,1966,448,2776,e7c6a2cf9f37210ed4f784691e44389f38f96d80
774,289,73,1966,448,2776,69483e022ac3ddd02f086a264c3eb5e3345ccc0c
777,289,74,1967,450,2780,bc98bc56a52860688ea0ae2ec7b9e59ddb72a811
778,289,74,1967,450,2780,6bd8462380e1c078969867d9a0f4871fcdbe52b4
779,289,74,1967,451,2781,0d71349773f8d2e8160d76b5c91a1896ece772db
781,290,74,1967,451,2782,e5cfa394d79b6ab1b412bd3b30c6a433b415d56b
785,292,74,1966,452,2784,df049ed77a4db67e45db5679bfc76a85d2a26680
786,292,74,1966,452,2784,014247ad1922931a2f17beaf6249247298e9dc44
787,292,74,1966,452,2784,17d3a6d8044752f482453f5906026eaf12c39e8e
789,292,74,1966,452,2784,7b6d3104f263d9483982928604b2e51f06126ec1
790,292,74,1966,453,2785,07577a2d05fc33ebef062f97a754dd53079356db
793,293,74,1965,454,2786,f675afa13ce89ea25a9798b2f7a57b091bb83dfa
795,293,74,1965,454,2786,2e05ef4e18c8fea0c199e4fc32278cce11158ac0
796,293,74,1965,455,2787,f0857c09fb51b21afb3e55da53bce962466af6d3
797,293,74,1965,456,2788,074a82f49b1443e66885ea861bbd2d2cb04af43e
799,293,74,1966,456,2789,0b02ce54cf58f96811a625245e374e6cd10e28af
800,293,74,1966,456,2789,d72f8862cb1a39934952e708c3c869be1399846e
802,294,73,1966,458,2791,f576b23a652eba69667ab3ce42aaf5f6b3e6f4ea
803,294,73,1966,458,2791,d62194a260eedd30aeea78f407032aabfde4be70
804,294,73,1966,460,2793,83f63730306fa3cbdcbe7f0dcb36b0cdcfd1ec4a
805,294,73,1966,460,2793,6f403056f09b0a77df9791125591f3057e328ab7
808,294,73,1966,460,2793,915ef79b08862680e82d6a772d6ead22735e9a2f
809,294,73,1966,460,2793,76ac07a90967acb0225d0a590164ae1b7ad0e6bd
810,294,73,1966,461,2794,97bc875234c5578a16e9e89be2b3431153e7b413
811,294,73,1966,461,2794,a2b999dfcac9bc92513a36ec6b3033ded1561c66
812,294,73,1966,462,2795,db97a8849519a3933bf4abd2184efd68ebc21965
814,294,73,1966,462,2795,24620d71f2116da31abe6c9391f7bc807ac23c0b
815,294,73,1966,462,2795,6bdd3840be63582531c3125a26cd00294e6f8346
816,294,73,1966,464,2797,8f8c54f70bfa3aa8e311514297f1eeded2c32593
817,294,73,1966,464,2797,84bc4f6cddfcb5fedc7586644d66d025476255ad
819,294,73,1966,464,2797,561c018d88203826cb9fd370e03a28e829871b75
820,294,73,1966,464,2797,0ffa3943fbd100e7de7b1ddbfd301ddc52b57410
821,295,72,1966,465,2798,035b0fa60da2e758d0ab7f9d04ef93cdb73c981f
822,295,72,1966,465,2798,8ee6a3f1a855bf983639a14fc2393baa8ead741f
823,295,72,1966,465,2798,b356dc4e07915521db1e768d6357e3d982877a6e
